Country,Indicator,,,,Year
Kenya,7,Sub-Saharan Africa,0.4145 37.8745,Kenya,2019
Kiribati,10,East Asia and Pacific,1.8719 202.6221,Kiribati,2019
"Korea, North",3,East Asia and Pacific,61.1854 6.8135,Democratic People's Republic of Korea,2019
"Korea, South",1,East Asia and Pacific,36.6384 127.6961,Republic of Korea,2019
Kuwait,0,Middle East and North Africa,29.3073 47.6003,Kuwait,2019
Kyrgyzstan,3,Europe and Central Asia,41.7909 74.9911,Kyrgyzstan,2019
Lao PDR,10,East Asia and Pacific,17.9701 102.6332,Lao People's Democratic Republic,2019
Latvia,0,Europe and Central Asia,56.7925 26.9435,Latvia,2019
Lebanon,0,Middle East and North Africa,33.9117 35.8708,Lebanon,2019
Lesotho,8,Sub-Saharan Africa,-29.6255 28.1698,Lesotho,2019
Liberia,6,Sub-Saharan Africa,6.7929 -9.9769,Liberia,2019
Libya,0,Middle East and North Africa,25.9354 20.7569,Libya,2019
Lithuania,0,Europe and Central Asia,55.1395 23.822,Lithuania,2019
Luxembourg,0,Europe and Central Asia,49.7275 5.9585,Luxembourg,2019
Madagascar,8,Sub-Saharan Africa,-18.821 46.8655,Madagascar,2019
Malawi,7,Sub-Saharan Africa,-13.3315 33.8445,Malawi,2019
Malaysia,1,East Asia and Pacific,5.3893 117.3568,Malaysia,2019
Maldives,1,South Asia,4.1909 73.5081,Maldives,2019
Mali,12,Sub-Saharan Africa,18.4654 -1.9417,Mali,2019
Malta,0,Europe and Central Asia,35.8975 14.4185,Malta,2019
Marshall Islands,8,East Asia and Pacific,8.2308 167.7953,Marshall Islands,2019
Mauritania,10,Sub-Saharan Africa,19.1695 -9.4755,Mauritania,2019
Mauritius,1,Sub-Saharan Africa,-20.2793 57.5696,Mauritius,2019
Mexico,3,Latin America and Caribbean,23.63 -101.97,Mexico,2019
Moldova,0,Europe and Central Asia,47.2036 28.4105,Republic of Moldova,2019
Monaco,0,Europe and Central Asia,43.7399 7.3989,Monaco,2019
Mongolia,3,East Asia and Pacific,46.1689 105.3854,Mongolia,2019
Montenegro,0,Europe and Central Asia,42.7891 19.2862,Montenegro,2019
Morocco,2,Middle East and North Africa,31.7 -7.1325,Morocco,2019
Mozambique,7,Sub-Saharan Africa,-13.497 38.127,Mozambique,2019
Myanmar,8,East Asia and Pacific,21.5841 96.1867,Myanmar,2019
Namibia,8,Sub-Saharan Africa,-20.7238 17.0299,Namibia,2019
Nauru,5,East Asia and Pacific,-0.521 166.9325,Nauru,2019
Nepal,6,South Asia,28.9136 81.5974,Nepal,2019
Netherlands,0,Europe and Central Asia,52.157 5.2035,Netherlands,2019
New Zealand,1,East Asia and Pacific,-44.7201 169.9667,New Zealand,2019
Nicaragua,4,Latin America and Caribbean,12.8482 -85.0204,Nicaragua,2019
Niger,14,Sub-Saharan Africa,17.3457 9.3245,Niger,2019
Nigeria,18,Sub-Saharan Africa,9.6551 8.1061,Nigeria,2019
North Macedonia,1,Europe and Central Asia,41.6171 21.7168,North Macedonia,2019
Norway,0,Europe and Central Asia,60.5366 7.4496,Norway,2019
Oman,1,Middle East and North Africa,22.019 57.368,Oman,2019
Pakistan,8,South Asia,29.3252 68.7733,Pakistan,2019
Panama,5,Latin America and Caribbean,8.4165 -81.7705,Panama,2019
Papua New Guinea,8,East Asia and Pacific,-6.1227 143.5162,Papua New Guinea,2019
Paraguay,3,Latin America and Caribbean,-82.028,Paraguay,2019
Peru,2,Latin America and Caribbean,-86.2163,Peru,2019
Philippines,8,East Asia and Pacific,17.3711 121.4954,Philippines,2019
Poland,0,Europe and Central Asia,52.1484 19.311,Poland,2019
Portugal,0,Europe and Central Asia,38.7993 -8.3502,Portugal,2019
Qatar,0,Middle East and North Africa,25.3217 51.1836,Qatar,2019
Romania,0,Europe and Central Asia,45.857 24.9433,Romania,2019
Russia,1,Europe and Central Asia,64.6863 97.7453,Russian Federation,2019
Rwanda,7,Sub-Saharan Africa,-2.0136 29.9188,Rwanda,2019
Saint Lucia,0,Latin America and Caribbean,13.9027 -60.9703,Saint Lucia,2019
Saint Vincent and the Grenadines,4,Latin America and Caribbean,13.2566 -61.1938,Saint Vincent and the Grenadines,2019
Samoa,2,East Asia and Pacific,-186.0687,Samoa,2019
Sao Tome and Principe,7,Sub-Saharan Africa,0.2356 6.6075,Sao Tome and Principe,2019
Saudi Arabia,0,Middle East and North Africa,23.7603 45.0093,Saudi Arabia,2019
Senegal,9,Sub-Saharan Africa,14.9983 -14.9588,Senegal,2019
Serbia,0,Europe and Central Asia,44.2085 20.7935,Serbia,2019
Sierra Leone,11,Sub-Saharan Africa,8.5306 -11.7953,Sierra Leone,2019
Singapore,1,East Asia and Pacific,1.3565 103.8215,Singapore,2019
Slovakia,0,Europe and Central Asia,48.7266 19.5075,Slovakia,2019
Slovenia,0,Europe and Central Asia,46.152 15.1315,Slovenia,2019
Solomon Islands,3,East Asia and Pacific,-8.7054 159.1071,Solomon Islands,2019
Somalia,13,Sub-Saharan Africa,2.7588 42.8849,Somalia,2019
South Africa,10,Sub-Saharan Africa,-29.6482 23.1067,South Africa,2019
South Sudan,10,Sub-Saharan Africa,7.2928 30.1985,South Sudan,2019
Spain,0,Europe and Central Asia,40.3544 -3.611,Spain,2019
Sri Lanka,1,South Asia,7.7004 80.6672,Sri Lanka,2019
Sudan,8,Sub-Saharan Africa,16.5644 29.0451,Sudan,2019
Suriname,1,Latin America and Caribbean,4.1199 -55.9116,Suriname,2019
Sweden,0,Europe and Central Asia,58.581 14.246,Sweden,2019
Switzerland,0,Europe and Central Asia,46.7919 8.1183,Switzerland,2019
Syria,1,Middle East and North Africa,34.6402 39.0494,Syrian Arab Republic,2019
Tajikistan,7,Europe and Central Asia,38.3213 72.1918,Tajikistan,2019
Tanzania,9,Sub-Saharan Africa,-5.6989 34.2839,United Republic of Tanzania,2019
Thailand,1,East Asia and Pacific,15.4439 100.9692,Thailand,2019
